trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-733.6782825422981,"{0: 69, 1: 9, 2: 27, 3: 4, 4: 11}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-41,-347.42251505882047,"{0: 36, 1: 4, 2: 14, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-78,-346.61273877113643,"{0: 71, 1: 12, 2: 17, 3: 5, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,-2,-140.39762742217533,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-36,-272.2366906782042,"{0: 44, 1: 2, 2: 15, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,6,-83.7648934677313,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,-33,-296.40676203156755,"{0: 34, 1: 6, 2: 12, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-63,-387.6187386086026,"{0: 54, 1: 8, 2: 19, 3: 2, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-42,-248.6498016103309,"{0: 41, 1: 8, 2: 12, 3: 4, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-41,-315.15862905110896,"{0: 37, 1: 7, 2: 9, 3: 4, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-84,-835.5733165811791,"{0: 51, 1: 9, 2: 27, 3: 4, 4: 13}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-26,-396.2223777338411,"{0: 26, 1: 7, 2: 8, 3: 4, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-661.9214197938917,"{0: 69, 1: 10, 2: 29, 3: 3, 4: 9}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-95,-520.1345837389986,"{0: 65, 1: 17, 2: 24, 3: 3, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,8,-80.84842599250017,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,14,-68.29433523966823,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,-81,-416.9153147102809,"{0: 64, 1: 13, 2: 16, 3: 2, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-20,-148.91553393935556,"{0: 29, 1: 8, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-19,-222.6263670213026,"{0: 29, 1: 4, 2: 5, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-63,-333.48898048747776,"{0: 49, 1: 14, 2: 12, 3: 5, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,13,-52.2400615039364,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,-92,-503.15878349465896,"{0: 77, 1: 13, 2: 22, 3: 4, 4: 6}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,5,-114.13597237276024,"{0: 17, 1: 1, 2: 2, 3: 4, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,-38,-418.83675203917045,"{0: 36, 1: 3, 2: 13, 3: 6, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.19754723601214,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-606.8565915826898,"{0: 76, 1: 6, 2: 25, 3: 4, 4: 9}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,15,-16.970798090954855,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,-100,-538.9123336425331,"{0: 78, 1: 15, 2: 28, 3: 4, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-62,-268.0713544343943,"{0: 60, 1: 5, 2: 10, 3: 2, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,4,-33.000472820861,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 0}",1
